video_id,title,published_at,keyword,views,likes,comments_count,avg_sentiment,comment_count,views_rank,likes_rank,sentiment_rank,popularity_score,popularity_status
ZDAdi6ZLktc,The Importance Of Education - What&#39;s The Real Purpose Of Education?,1/4/2019,education,143605,3121,104,1.6,10,0.31430125067971726,0.27351821642196844,0.8,0.3992060902664492,Not Popular
PAlgOvXOewM,"The U.S. Is Dealing With A Teacher Shortage, Education Secretary",16/8/2022,education,37905,908,932,0.2,10,0.15388798259923872,0.1212615551930397,0.1,0.13332245785753127,Not Popular
I0dKGM_B3ys,"Education should be a right for all, not a privilege for the few.",24/8/2022,education,6611,1445,296,1,10,0.032626427,0.16639477977161501,0.5,0.16623164763458403,Not Popular
BvbxH9PFcSI,Every State Ranked by Education. (All 50 US States),23/8/2022,education,63675,2951,580,1.5,10,0.2137030995106036,0.26373028820010874,0.75,0.3359706362153344,Not Popular
JggwEgBFm3o,Growing Number Of High Schoolers Are Opting Out Of Higher Education,10/8/2022,education,65745,1237,709,0.8,10,0.22022838499184338,0.15225666122892875,0.4,0.23579119086460032,Not Popular
XLYqTZKEpvs,Daryl Hall &amp; John Oates - Adult Education (Official Video),20/4/2015,education,3371830,32962,2355,1.8,10,0.7721587819467102,0.6492659053833605,0.9,0.7608591625883633,Popular
j0uw7Xc0fLk,The Future of Education - Yuval Noah Harari &amp; Russell Brand - Penguin Talks,8/10/2018,education,940004,19436,1683,1.3,10,0.5807504078303426,0.5470364328439369,0.65,0.5844861337683523,Average
BzOrENKvfV4,How Pratham Mittal Is Fixing Indian Business Education?,23/8/2022,education,6631,324,51,1,10,0.033170201,0.047852094,0.5,0.13094072865687875,Not Popular
3NPXe9tqAfc,Minecraft but you can CHOOSE YOUR YOUTUBER...,23/8/2022,minecraft,157301,6559,257,1.4444444444444444,9,0.32735182164219684,0.37520391517128876,0.7222222222222222,0.4206815298169295,Average
D3Xz9SwOi7I,I Google Translated MINECRAFT 200 Times...,24/8/2022,minecraft,943664,28195,2588,1.8571428571428572,7,0.5818379554105492,0.6150081566068516,0.9285714285714286,0.6611357104016158,Average
p-poNhIoWI8,Why do these SCARY DOCTORS PERFORM RADIATION SURGERY ON A VILLAGER in Minecraft ? SCARY VILLAGER !,24/8/2022,minecraft,59749,992,18,1,8,0.2077215878194671,0.12833061446438282,0.5,0.2423599782490484,Not Popular
06mX6Af3Amg,Monster School : BABY MONSTERS GIANT RUSH RUN CHALLENGE 3 - Minecraft Animation,23/8/2022,minecraft,77345,1796,47,1.875,8,0.23817292006525284,0.19548667754214247,0.9375,0.36523246329526915,Not Popular
yQHIbI5eFe0,Busting 100 Minecraft Myths In 24 Hours,24/8/2022,minecraft,206418,5524,526,1.75,8,0.3621533442088091,0.355084285,0.875,0.4626019575856444,Average
ysfw9ccb-vE,*SHOCKING* 8 INSANE Things Done By Minecraft Players That Will Blow Your Mind ð±,24/8/2022,minecraft,88788,9633,179,1.4,10,0.2582925502990756,0.43665035345296355,0.7,0.40014138118542686,Not Popular
CrUkeMM-gis,Incredibly CURSED Minecraft Mods,23/8/2022,minecraft,481643,17548,664,1.75,8,0.46818923327895595,0.5290918977705275,0.875,0.5678221859706363,Average
F530cN4t4-I,O VÃ­deo Mais Visto de Minecraft!,24/8/2022,minecraft,544761,28878,605,1.1,10,0.48722131593257206,0.6177270255573681,0.55,0.5389287656334965,Average
QCY71hdGOl8,Teaching Preston How To LADDER CLUTCH in Minecraft Bedwars...,24/8/2022,minecraft,167962,12675,909,1.9,10,0.33442088091353994,0.476889614,0.95,0.5002773246329526,Average
zDv2B606lvg,I Survived 100 Days on a SURVIVAL ISLAND in Minecraft Hardcore...,7/2/2021,minecraft,18380002,345943,11838,1.7,10,0.9271343121261555,0.9211528,0.85,0.9099129961935835,Popular
hI-NdCkqPEU,GEBURT bis TOD als Minecraft SPINNE! â¿ [Deutsch/HD],24/8/2022,minecraft,52954,2586,98,1.4,10,0.1881457313757477,0.24306688417618272,0.7,0.30699293094072866,Not Popular
zRRCD_hYiLI,ASI serÃ¡n las VOTACIONES MC LIVE 2022!,24/8/2022,minecraft,1044608,98631,3188,1,10,0.5965198477433388,0.8134855899945622,0.5,0.642305601,Average
D6S4wlmGs8Y,Minecraft wait what meme part 281 (Yoshie NextBot),24/8/2022,minecraft,94188,1809,65,1.5555555555555556,9,0.26373028820010874,0.1979336595976074,0.7777777777777778,0.3468007975348921,Not Popular
2DvcGeGCU18,Bir Minecraft Efsanesi: BÄ°LLY VE GÄ°ZEMLÄ° HÄ°KAYESÄ°,24/8/2022,minecraft,167863,23676,1913,1.2,10,0.33387710712343666,0.5807504078303426,0.6,0.4611636759108211,Average
1r4rKBVHki8,Eu sobrevivi 100 DIAS como GODZILLA no Minecraft HARDCORE!,24/8/2022,minecraft,444036,31710,456,1,10,0.4578575312669929,0.6405655247417075,0.5,0.5210984230560087,Average
E5sYdqtJzHw,"Minecraft, But It Gets More Realistic...",11/8/2022,minecraft,1655085,54092,2452,1.8888888888888888,9,0.6731919521479065,0.7346383904295813,0.9444444444444444,0.7458763820917165,Popular
STMEBpBHvAo,Hice MINECRAFT RTX para ANDROID en 24 HORAS,24/8/2022,minecraft,183096,16605,849,1.3,10,0.343121262,0.5193039695486678,0.65,0.45735182164219684,Average
dUdp_MSKMwA,7 Security Build Hacks vs Pillagers - Minecraft,23/2/2022,minecraft,23169378,287909,6424,1.3,10,0.9369222403480152,0.9102773246329527,0.65,0.8715443175638934,Popular
G5Wdx2v2LYY,ELE VAI ME BATER SE EU NÃO CONCLUIR ESSES DESAFIOS NO MINECRAFT,24/8/2022,minecraft,187063,11316,850,1.2,10,0.3452963567156063,0.4605764002175095,0.6,0.430821098,Average
2yYybr_dFwk,"Minecraft, ale KOLORY CHCÄ NAS ZABIÄ!",24/8/2022,minecraft,129591,12935,80,1.1,10,0.300163132,0.4817835780315389,0.55,0.4046166394779771,Not Popular
gjjGa8eIRk4,MÃNH SINH Tá»N 100 NGÃY LÃM QUÃN CÃCH Máº NG TRONG MINECRAFT ONE PIECE SIÃU KHÃ VÃ Máº NH QUÃ TRá»I !!,24/8/2022,minecraft,188490,4279,171,1.2,10,0.3474714518760196,0.3153887982599239,0.6,0.38835236541598694,Not Popular
iZ3fFX_xeqg,Nguá»n gá»c cá»§a ALLAY | Giáº£ thuyáº¿t MINECRAFT | Gamechan,24/8/2022,minecraft,97537,2815,79,1,10,0.2669929309407287,0.25938009787928223,0.5,0.31131049483414897,Not Popular
P891I3YCQf0,Hilariously FAKE Minecraft Speedruns...,21/8/2022,minecraft,408227,11751,659,1.3,10,0.4464382816748233,0.4671016856987493,0.65,0.49334964654703645,Average
